order_id,customer_id,order_date,product,quantity,amount,payment_mode
162,494,2026-01-18,Headphones,2,669.71,Card
163,820,2026-04-01,Keyboard,5,1647.08,UPI
164,718,2026-03-05,Tablet,1,4177.67,NetBanking
165,690,2026-03-29,Laptop,5,3769.06,Card
166,488,2026-02-25,Keyboard,3,1637.98,Card
167,970,2026-02-18,Headphones,2,3756.17,Card
168,754,2026-03-09,Phone,2,1286.08,Card
169,855,2026-06-08,Tablet,2,1323.51,UPI
170,123,2026-06-23,Mouse,4,4608.92,UPI
171,783,2026-01-11,Monitor,4,4299.74,Cash
172,636,2026-05-28,Monitor,3,1645.54,NetBanking
173,188,2026-05-11,Tablet,4,4923.53,Card
174,769,2026-01-14,Keyboard,4,2925.66,NetBanking
175,963,2026-05-09,Tablet,4,-100.0,Card
176,469,2026-06-28,Keyboard,4,4884.89,Cash
177,706,2026-06-22,Phone,4,141.25,UPI
178,334,2026-03-08,Phone,5,1871.85,Cash
179,243,2026-06-06,Tablet,3,1420.1,Card
180,511,2026-04-18,Mouse,3,2177.32,Cash
181,875,2026-04-26,Phone,5,2062.9,Card
182,590,2026-01-26,Mouse,3,3461.46,Card
183,569,2026-04-08,Phone,2,2217.87,Card
184,485,2026-02-15,Headphones,4,4047.77,Card
185,915,2026-05-13,Keyboard,3,4262.01,NetBanking
186,308,2026-05-26,Laptop,4,1329.77,UPI
187,708,2026-02-25,Monitor,3,900.38,NetBanking
188,860,2026-04-26,Mouse,3,3186.32,Cash
189,370,2026-05-23,Monitor,3,1865.5,Cash
190,21,2026-03-31,Monitor,5,2117.63,Card
191,591,2026-06-16,Keyboard,2,2921.88,Cash
192,364,2026-05-11,Headphones,4,1692.94,UPI
193,391,2026-04-29,Mouse,2,3106.95,Card
194,656,2026-03-28,Headphones,5,4057.81,NetBanking
195,870,2026-01-21,Phone,3,4544.66,Card
196,322,2026-03-16,Mouse,3,1652.7,NetBanking
197,278,2026-04-03,Mouse,5,4449.69,NetBanking
198,424,2026-01-06,Phone,2,919.86,Cash
199,964,2026-01-21,Phone,2,3744.99,NetBanking
200,106,2026-05-02,Keyboard,1,568.21,UPI
201,790,2026-01-22,Laptop,3,2045.36,Card
202,87,2026-04-10,Tablet,2,3308.68,Card
203,756,2026-06-10,Phone,2,1492.46,Card
204,30,2026-04-02,Monitor,3,272.26,NetBanking
205,479,2026-05-19,Tablet,5,4877.41,NetBanking
206,139,2026-06-28,Keyboard,2,4850.76,NetBanking
207,647,2026-05-25,Headphones,5,3769.67,Cash
208,931,2026-05-19,Phone,1,1801.12,NetBanking
209,316,2026-03-08,Phone,3,1892.34,UPI
210,1,2026-02-04,Tablet,3,,NetBanking
211,548,2026-05-06,Monitor,4,140.75,Cash
212,10,2026-03-16,Keyboard,2,3852.76,UPI
213,562,2026-04-16,Keyboard,4,1930.85,NetBanking
214,256,2026-06-15,Headphones,4,900.02,Card
215,270,2026-06-10,Phone,5,488.13,Cash
216,292,2026-05-17,Monitor,3,3277.44,NetBanking
217,193,2026-02-16,Phone,3,4282.06,UPI
218,653,2026-04-26,Tablet,5,2331.18,NetBanking
219,193,2026-02-08,Laptop,5,1671.15,UPI
220,191,2026-03-14,Tablet,2,4864.43,NetBanking
221,745,2026-01-24,Phone,1,140.2,NetBanking
222,223,2026-03-21,Monitor,4,1775.37,Cash
223,475,2026-01-09,Tablet,1,3514.98,Card
224,58,2026-04-11,Laptop,5,1405.87,NetBanking
225,186,2026-03-06,Monitor,4,1041.74,UPI
226,125,2026-03-05,Headphones,4,4875.53,Card
227,756,2026-02-20,Headphones,1,4973.22,Card
228,485,2026-03-21,Tablet,2,2006.7,UPI
229,763,2026-05-14,Laptop,3,4693.36,NetBanking
230,654,2026-04-03,Laptop,2,1564.18,UPI
231,242,2026-03-25,Laptop,2,3201.25,Cash
232,599,2026-03-04,Laptop,1,686.28,NetBanking
233,705,2026-04-06,Monitor,1,3021.44,Card
234,162,2026-06-25,Keyboard,3,2549.6,UPI
235,62,2026-02-09,Mouse,5,1842.04,UPI
236,129,2026-03-23,Keyboard,3,2490.43,NetBanking
237,751,2026-06-26,Headphones,3,1045.53,Card
238,257,2026-05-05,Mouse,4,4503.45,Cash
239,556,2026-02-18,Keyboard,2,3515.49,Cash
240,332,2026-03-12,Monitor,5,3688.77,Card
241,71,2026-04-26,Tablet,3,2702.57,Cash
242,465,2026-06-13,Keyboard,4,103.53,Card
243,905,2026-04-04,Monitor,5,191.73,Card
244,329,2026-06-18,Keyboard,4,3632.92,Card
245,537,2026-05-22,Phone,5,3447.8,Cash
246,331,2026-03-24,Laptop,1,2108.04,UPI
247,45,2026-02-03,Phone,1,4192.45,Card
248,110,2026-01-26,Laptop,5,2478.31,NetBanking
249,674,2026-06-09,Mouse,5,2500.56,Cash
250,51,2026-06-05,Mouse,1,1895.13,UPI
251,953,2026-06-17,Headphones,1,4613.07,NetBanking
252,821,2026-04-03,Keyboard,4,3230.69,Cash
253,814,2026-06-07,Tablet,5,3571.33,UPI
254,752,2026-03-19,Laptop,2,444.9,UPI
255,104,2026-05-17,Headphones,2,3653.34,Card
256,539,2026-05-26,Mouse,2,3318.69,NetBanking
257,765,2026-06-13,Keyboard,3,617.02,NetBanking
258,720,2026-01-27,Phone,2,3359.69,NetBanking
259,517,2026-02-10,Keyboard,5,1753.81,NetBanking
260,956,2026-03-22,Keyboard,3,1826.39,Cash
261,423,2026-04-21,Monitor,3,3844.5,Card
262,577,2026-04-07,Monitor,5,2773.57,Cash
263,369,2026-04-25,Headphones,1,4812.09,UPI
264,292,2026-05-13,Phone,3,3019.24,UPI
265,308,2026-02-24,Monitor,3,4923.53,UPI
266,791,2026-06-26,Monitor,3,4127.51,Card
267,97,2026-04-02,Phone,2,284.91,Cash
268,376,2026-03-05,Phone,3,4459.16,Cash
269,95,2026-05-26,Phone,1,2895.39,Cash
270,812,2026-05-05,Monitor,5,2464.41,UPI
271,610,2026-01-10,Mouse,5,3247.05,NetBanking
272,81,2026-03-27,Tablet,4,3922.6,NetBanking
273,953,2026-02-28,Mouse,5,4352.37,UPI
274,650,2026-04-08,Laptop,3,3909.35,UPI
275,327,2026-02-08,Tablet,5,2745.66,Card
276,157,2026-04-11,Headphones,5,347.55,UPI
277,228,2026-04-11,Phone,2,2216.48,Cash
278,85,2026-01-13,Keyboard,4,2431.69,Cash
279,88,2026-04-22,Monitor,2,2052.78,Card
280,493,2026-05-05,Headphones,5,2840.55,Card
281,575,2026-05-15,Phone,2,3118.38,UPI
282,273,2026-03-24,Mouse,5,3906.18,UPI
283,116,2026-04-19,Tablet,3,3391.56,Card
284,329,2026-06-17,Laptop,3,1788.17,Card
285,359,2026-04-24,Keyboard,2,3119.48,NetBanking
286,46,2026-03-01,Phone,3,4628.64,Card
287,776,2026-01-22,Laptop,1,3669.59,Card
288,972,2026-02-07,Monitor,3,3142.91,UPI
289,352,2026-01-29,Tablet,4,3499.6,NetBanking
290,24,2026-05-18,Phone,2,1726.2,Cash
291,562,2026-02-06,Mouse,1,2466.83,NetBanking
292,597,2026-05-15,Laptop,3,4539.6,Card
293,62,2026-06-28,Keyboard,3,1491.67,UPI
294,477,2026-01-03,Laptop,4,3308.31,Cash
295,679,2026-06-18,Tablet,1,4275.21,UPI
296,300,2026-06-16,Headphones,2,4350.31,NetBanking
297,521,2026-01-26,Tablet,4,4885.4,UPI
298,191,2026-04-28,Keyboard,1,1074.49,UPI
299,254,2026-03-20,Tablet,4,4619.12,NetBanking
300,763,2026-03-30,Mouse,3,869.33,Cash
301,641,2026-05-09,Tablet,1,1581.4,Cash
302,900,2026-01-08,Keyboard,3,1997.14,Card
303,156,2026-04-11,Mouse,2,1774.75,UPI
304,748,2026-06-23,Keyboard,2,1972.81,NetBanking
305,247,2026-04-20,Tablet,5,2907.2,Cash
306,460,2026-02-22,Mouse,2,2756.95,Card
307,884,2026-06-26,Mouse,5,776.74,Card
308,441,2026-02-07,Mouse,5,4978.86,Card
309,326,2026-05-17,Mouse,1,432.29,Card
310,326,2026-02-07,Mouse,1,4213.66,Cash
311,902,2026-04-16,Tablet,4,4867.19,Cash
312,156,2026-01-28,Phone,2,3917.63,UPI
313,781,2026-06-07,Tablet,5,4931.18,Card
314,611,2026-06-25,Laptop,3,1237.69,UPI
315,705,2026-02-04,Keyboard,5,3921.15,NetBanking
316,730,2026-02-17,Monitor,4,3282.89,NetBanking
317,486,2026-02-19,Phone,1,773.81,NetBanking
318,783,2026-03-11,Headphones,2,4847.19,Card
319,776,2026-02-15,Headphones,5,1102.35,NetBanking
320,705,2026-04-28,Phone,4,1691.99,NetBanking
321,795,2026-04-08,Mouse,3,304.95,NetBanking
322,627,2026-05-27,Keyboard,5,4701.78,UPI
323,534,2026-04-27,Monitor,1,635.65,Card
324,532,2026-01-11,Keyboard,4,2735.56,UPI
325,195,2026-04-12,Tablet,3,1526.78,NetBanking
326,171,2026-06-06,Laptop,5,2170.06,Card
327,475,2026-04-26,Laptop,5,4166.48,UPI
328,185,2026-06-28,Keyboard,2,3915.78,NetBanking
329,424,2026-01-07,Phone,4,1684.96,Card
330,904,2026-03-06,Tablet,2,2327.95,UPI
331,94,2026-04-26,Mouse,3,659.41,UPI
332,537,2026-05-11,Keyboard,2,3565.67,NetBanking
333,564,2026-02-13,Tablet,5,1964.97,Card
334,167,2026-02-15,Monitor,1,4357.21,NetBanking
335,316,2026-04-25,Tablet,2,1616.64,UPI
336,921,2026-02-21,Laptop,5,744.7,Cash
337,13,2026-05-08,Keyboard,1,2347.35,NetBanking
338,244,2026-06-18,Headphones,4,1162.68,NetBanking
339,453,2026-06-03,Laptop,2,489.08,Cash
340,635,2026-02-23,Laptop,2,3180.31,Card
341,57,2026-01-10,Phone,1,3301.06,Cash
342,340,2026-01-13,Laptop,4,4609.89,Card
343,166,2026-06-06,Mouse,5,3393.24,Card
344,990,2026-05-29,Tablet,1,2331.16,UPI
345,787,2026-04-05,Headphones,1,1566.54,NetBanking
346,864,2026-03-16,Headphones,2,2797.31,UPI
347,712,2026-03-26,Keyboard,4,4311.1,Card
348,713,2026-01-15,Laptop,5,1124.35,UPI
349,496,2026-06-04,Monitor,3,3647.96,NetBanking
350,624,2026-03-08,Keyboard,5,-100.0,Cash
351,950,2026-05-25,Headphones,5,735.59,NetBanking
352,505,2026-06-06,Phone,3,4059.1,Card
353,2,2026-04-30,Mouse,1,679.21,Card
354,819,2026-04-17,Headphones,1,3115.01,Cash
355,359,2026-06-13,Phone,1,2846.04,Card
356,707,2026-01-18,Tablet,3,1479.97,Cash
357,786,2026-06-25,Tablet,3,130.04,NetBanking
358,742,2026-01-08,Monitor,2,2887.72,Card
359,339,2026-06-22,Headphones,4,4185.74,UPI
360,662,2026-02-09,Mouse,4,765.19,Cash
361,474,2026-04-16,Mouse,1,3941.55,Cash
362,579,2026-03-22,Keyboard,5,3652.32,UPI
363,214,2026-03-26,Monitor,3,2929.25,UPI
364,993,2026-01-08,Tablet,4,831.59,Card
365,585,2026-02-17,Keyboard,1,3067.88,Cash
366,723,2026-01-09,Tablet,4,4303.32,UPI
367,509,2026-04-06,Headphones,3,4397.54,Card
368,538,2026-01-29,Tablet,1,1581.36,Card
369,936,2026-05-10,Laptop,4,553.76,Card
370,195,2026-05-04,Mouse,5,1766.57,Cash
371,795,2026-01-26,Monitor,5,1703.96,Card
372,211,2026-04-28,Headphones,5,3650.4,UPI
373,5,2026-01-12,Mouse,5,1623.81,UPI
374,342,2026-01-12,Laptop,5,2387.69,Cash
375,24,2026-03-21,Mouse,2,2930.04,Cash
376,206,2026-03-12,Keyboard,3,1043.47,NetBanking
377,688,2026-02-08,Phone,3,676.49,UPI
378,16,2026-05-24,Keyboard,1,4795.66,Card
379,556,2026-03-23,Tablet,2,1816.56,Cash
380,588,2026-01-19,Tablet,5,1299.64,Cash
381,554,2026-02-03,Laptop,4,2273.87,UPI
382,109,2026-01-23,Headphones,4,1979.64,Card
383,722,2026-06-01,Mouse,4,3020.99,Cash
384,320,2026-02-20,Mouse,5,1728.43,UPI
385,998,2026-04-30,Keyboard,2,4621.64,UPI
386,833,2026-06-28,Headphones,1,4031.52,NetBanking
387,318,2026-04-30,Headphones,2,3453.94,Card
388,148,2026-06-07,Tablet,3,4319.37,NetBanking
389,188,2026-06-20,Tablet,3,3528.11,NetBanking
390,500,2026-05-02,Laptop,3,248.29,NetBanking
391,473,2026-03-14,Monitor,3,4244.25,Card
392,521,2026-01-28,Tablet,5,604.37,UPI
393,812,2026-04-29,Headphones,5,1580.38,NetBanking
394,245,2026-05-21,Phone,4,3142.29,NetBanking
395,68,2026-06-27,Keyboard,4,1769.5,NetBanking
396,581,2026-05-20,Mouse,2,3957.9,Card
397,679,2026-05-27,Monitor,4,3381.07,UPI
398,607,2026-03-25,Keyboard,1,3020.77,NetBanking
399,181,2026-04-14,Laptop,5,1609.38,UPI
400,702,2026-04-08,Tablet,4,4088.93,UPI
401,93,2026-02-05,Keyboard,1,1166.3,Card
402,677,2026-05-17,Tablet,4,831.16,NetBanking
403,201,2026-03-23,Tablet,5,1107.74,Cash
404,941,2026-04-22,Mouse,3,4722.33,UPI
405,597,2026-05-11,Headphones,2,139.78,Cash
406,64,2026-05-21,Laptop,1,1909.19,Cash
407,113,2026-01-08,Phone,4,4320.11,NetBanking
408,641,2026-04-08,Headphones,4,1658.82,NetBanking
409,559,2026-02-14,Headphones,2,1134.96,Card
410,569,2026-04-03,Monitor,4,1984.52,Card
411,296,2026-06-21,Phone,2,4987.53,UPI
412,74,2026-02-06,Mouse,4,3277.11,NetBanking
413,999,2026-01-22,Phone,4,4952.07,NetBanking
414,916,2026-06-04,Headphones,5,3965.75,Card
415,466,2026-05-22,Monitor,4,2596.13,NetBanking
416,364,2026-04-19,Keyboard,1,1206.13,NetBanking
417,868,2026-05-09,Tablet,4,3681.48,Cash
418,35,2026-05-26,Headphones,3,4893.34,UPI
419,595,2026-06-26,Laptop,2,2459.51,Cash
420,477,2026-05-14,Keyboard,1,,Card
421,484,2026-06-19,Mouse,1,3190.25,Cash
422,628,2026-03-29,Keyboard,1,358.59,NetBanking
423,465,2026-05-01,Keyboard,3,2612.05,NetBanking
424,362,2026-03-17,Tablet,2,4806.85,UPI
425,712,2026-03-19,Mouse,5,4622.04,Cash
426,63,2026-05-29,Phone,5,3183.57,UPI
427,673,2026-06-09,Laptop,3,4952.79,NetBanking
428,85,2026-01-20,Monitor,3,721.42,Cash
429,136,2026-03-12,Monitor,3,3117.41,UPI
430,760,2026-02-14,Keyboard,2,646.59,NetBanking
431,379,2026-03-08,Monitor,2,4058.42,NetBanking
432,186,2026-01-09,Tablet,1,4016.92,Card
433,610,2026-02-09,Monitor,4,4676.32,NetBanking
434,789,2026-06-19,Headphones,2,1977.52,Card
435,592,2026-03-30,Laptop,3,3698.37,UPI
436,54,2026-04-13,Headphones,3,921.24,NetBanking
437,765,2026-05-17,Phone,4,4746.43,NetBanking
438,486,2026-05-16,Monitor,4,1386.86,UPI
439,296,2026-04-25,Headphones,3,4643.39,UPI
440,100,2026-06-13,Tablet,4,4596.79,Cash
441,344,2026-01-26,Tablet,5,1424.6,NetBanking
442,473,2026-03-03,Mouse,5,3888.44,Card
443,533,2026-06-26,Phone,3,1753.29,UPI
444,689,2026-01-18,Laptop,4,141.53,UPI
445,538,2026-04-25,Tablet,2,609.15,Cash
446,258,2026-01-07,Keyboard,1,1046.09,UPI
447,962,2026-02-25,Keyboard,1,3011.28,UPI
448,89,2026-02-03,Headphones,5,4296.56,Card
449,918,2026-02-17,Tablet,3,643.14,NetBanking
450,677,2026-06-13,Headphones,3,4687.29,NetBanking
451,709,2026-03-24,Tablet,2,4526.62,UPI
452,284,2026-04-08,Headphones,3,3907.82,UPI
453,265,2026-03-09,Phone,4,4782.47,UPI
454,504,2026-02-21,Keyboard,4,4899.17,Card
455,661,2026-02-06,Keyboard,4,2511.08,Card
456,629,2026-04-24,Mouse,3,3252.36,UPI
457,36,2026-05-27,Mouse,3,457.31,NetBanking
458,20,2026-02-08,Mouse,1,4492.91,UPI
459,681,2026-02-08,Mouse,3,2013.37,NetBanking
460,589,2026-05-06,Headphones,4,118.15,NetBanking
461,865,2026-01-18,Keyboard,2,3666.06,UPI
462,394,2026-05-04,Laptop,5,4775.36,Cash
463,342,2026-04-13,Laptop,1,3441.0,Cash
464,548,2026-03-29,Laptop,4,4281.38,Cash
465,664,2026-05-22,Laptop,4,1095.29,Card
466,307,2026-01-28,Mouse,3,3509.82,NetBanking
467,87,2026-04-23,Mouse,2,4437.55,Card
468,37,2026-06-01,Phone,4,1046.15,NetBanking
469,65,2026-06-14,Tablet,4,3984.42,NetBanking
470,990,2026-01-10,Tablet,1,4979.58,Cash
471,807,2026-04-14,Laptop,2,3632.96,NetBanking
472,963,2026-05-18,Phone,5,3422.58,Card
473,948,2026-02-06,Headphones,1,452.96,NetBanking
474,929,2026-01-12,Phone,2,4598.29,UPI
475,177,2026-03-20,Monitor,1,3200.04,NetBanking
476,626,2026-06-01,Laptop,1,936.38,UPI
477,510,2026-06-07,Phone,1,3015.39,Card
478,437,2026-06-23,Headphones,3,1752.98,UPI
479,1000,2026-05-20,Phone,3,3452.03,Card
480,783,2026-02-14,Tablet,1,323.37,UPI
481,281,2026-04-17,Phone,3,792.06,Card
482,450,2026-05-29,Laptop,2,1293.86,UPI
483,811,2026-06-06,Headphones,2,4252.1,UPI
484,901,2026-01-02,Laptop,2,2486.14,UPI
485,724,2026-03-14,Headphones,4,3293.6,Card
486,212,2026-03-11,Keyboard,4,801.13,NetBanking
487,245,2026-06-06,Mouse,1,4696.64,Card
488,735,2026-01-23,Mouse,3,2549.45,Cash
489,429,2026-03-02,Phone,1,122.39,UPI
490,634,2026-05-19,Keyboard,2,1873.32,NetBanking
491,789,2026-02-23,Tablet,1,3169.67,Card
492,116,2026-06-25,Monitor,4,4003.4,NetBanking
493,181,2026-01-12,Laptop,3,882.82,Cash
494,215,2026-03-27,Keyboard,4,2229.89,UPI
495,107,2026-05-18,Phone,2,3728.04,UPI
496,497,2026-01-19,Phone,4,2623.03,Cash
497,430,2026-06-23,Tablet,2,1073.88,UPI
498,334,2026-03-02,Mouse,4,1216.13,Card
499,385,2026-01-19,Headphones,5,4467.69,NetBanking
500,56,2026-02-07,Phone,5,4463.4,NetBanking
501,183,2026-02-04,Headphones,2,1997.92,Cash
502,999,2026-03-27,Phone,1,1421.5,UPI
503,288,2026-04-30,Headphones,4,768.86,Card
504,779,2026-03-17,Keyboard,2,1783.52,Card
505,592,2026-02-28,Laptop,4,4853.67,NetBanking
506,883,2026-06-01,Headphones,4,4978.76,Cash
507,15,2026-03-05,Phone,3,3677.09,NetBanking
508,594,2026-06-01,Phone,5,1189.79,UPI
509,428,2026-01-11,Headphones,5,4902.9,UPI
510,436,2026-05-03,Monitor,1,2702.5,NetBanking
511,508,2026-05-23,Monitor,1,1278.51,NetBanking
512,973,2026-04-02,Tablet,2,1168.23,UPI
513,17,2026-03-20,Phone,4,2450.94,UPI
514,1000,2026-02-05,Monitor,4,2328.72,Card
